YearMonth,StockCode,Description,CancelledVolume
2011-08,23301,"GARDENERS KNEELING PAD KEEP CALM ",1
2011-08,23319,"BOX OF 6 MINI 50'S CRACKERS",1
2011-08,23347,"I LOVE LONDON BEAKER",1
2011-08,23355,"HOT WATER BOTTLE KEEP CALM",1
2011-08,23368,"SET 12 COLOUR PENCILS DOLLY GIRL ",1
2011-08,23404,"HOME SWEET HOME BLACKBOARD",1
2011-08,23462,"ROCOCO WALL MIRROR WHITE",2
2011-08,23480,"MINI LIGHTS WOODLAND MUSHROOMS",1
2011-08,23494,"VINTAGE DOILY DELUXE SEWING KIT ",2
2011-08,35970,"ZINC FOLKART SLEIGH BELLS",1
2011-08,37447,"CERAMIC CAKE DESIGN SPOTTED PLATE",1
2011-08,48138,"DOORMAT UNION FLAG",1
2011-08,71459,"HANGING JAM JAR T-LIGHT HOLDERS",1
2011-08,71477,"COLOUR GLASS. STAR T-LIGHT HOLDER",2
2011-08,79191C,"RETRO PLASTIC ELEPHANT TRAY",1
2011-08,79321,"CHILLI LIGHTS",1
2011-08,84078A,"SET/4 WHITE RETRO STORAGE CUBES ",1
2011-08,85066,"CREAM SWEETHEART MINI CHEST",1
2011-08,85099C,"JUMBO  BAG BAROQUE BLACK WHITE",1
2011-08,90176A,"CLASSIC DIAMANTE NECKLACE JET",1
2011-08,90176D,"DIAMANTE NECKLACE PURPLE",1
2011-08,M,Manual,2
2011-09,11001,"ASSTD DESIGN RACING CAR PEN",1
2011-09,21928,"JUMBO BAG SCANDINAVIAN BLUE PAISLEY",1
2011-09,21931,"JUMBO STORAGE BAG SUKI",1
2011-09,22119,"PEACE WOODEN BLOCK LETTERS",1
2011-09,22385,"JUMBO BAG SPACEBOY DESIGN",1
2011-09,22386,"JUMBO BAG PINK POLKADOT",1
2011-09,22411,"JUMBO SHOPPER VINTAGE RED PAISLEY",1
2011-09,22784,"LANTERN CREAM GAZEBO ",1
2011-09,22973,"CHILDREN'S CIRCUS PARADE MUG",1
2011-09,22991,"GIRAFFE WOODEN RULER",1
2011-09,22992,"REVOLVER WOODEN RULER ",1
2011-09,23099,"FRENCH CARRIAGE LANTERN",1
2011-09,23199,"JUMBO BAG APPLES",1
2011-09,23202,"JUMBO BAG VINTAGE LEAF",1
2011-09,23203,"JUMBO BAG VINTAGE DOILY ",1
2011-09,23343,"JUMBO BAG VINTAGE CHRISTMAS ",1
2011-09,23344,"JUMBO BAG 50'S CHRISTMAS ",1
2011-09,23581,"JUMBO BAG PAISLEY PARK",1
2011-09,23582,"VINTAGE DOILY JUMBO BAG RED ",1
2011-09,37449,"CERAMIC CAKE STAND + HANGING CAKES",1
2011-09,85048,"15CM CHRISTMAS GLASS BALL 20 LIGHTS",1
2011-09,85099B,"JUMBO BAG RED RETROSPOT",1
2011-09,85099C,"JUMBO  BAG BAROQUE BLACK WHITE",1
2011-09,M,Manual,1
2011-10,15044D,"RED PAPER PARASOL",1
2011-10,21136,"PAINTED METAL PEARS ASSORTED",1
2011-10,21155,"RED RETROSPOT PEG BAG",1
2011-10,21259,"VICTORIAN SEWING BOX SMALL ",1
2011-10,21535,"RED RETROSPOT SMALL MILK JUG",1
2011-10,21754,"HOME BUILDING BLOCK WORD",2
2011-10,21877,"HOME SWEET HOME MUG",1
2011-10,22079,"RIBBON REEL HEARTS DESIGN ",1
2011-10,22080,"RIBBON REEL POLKADOTS ",1
2011-10,22139,"RETROSPOT TEA SET CERAMIC 11 PC ",2
2011-10,22178,"VICTORIAN GLASS HANGING T-LIGHT",1
2011-10,22197,"POPCORN HOLDER",1
2011-10,22306,"SILVER MUG BONE CHINA TREE OF LIFE",1
2011-10,22382,"LUNCH BAG SPACEBOY DESIGN ",1
2011-10,22423,"REGENCY CAKESTAND 3 TIER",1
2011-10,22441,"GROW YOUR OWN BASIL IN ENAMEL MUG",1
2011-10,22568,"FELTCRAFT CUSHION OWL",1
2011-10,22617,"BAKING SET SPACEBOY DESIGN",1
2011-10,22624,"IVORY KITCHEN SCALES",1
2011-10,22630,"DOLLY GIRL LUNCH BOX",1
2011-10,22720,"SET OF 3 CAKE TINS PANTRY DESIGN ",2
2011-10,22726,"ALARM CLOCK BAKELIKE GREEN",1
2011-10,22727,"ALARM CLOCK BAKELIKE RED ",1
2011-10,22960,"JAM MAKING SET WITH JARS",1
2011-10,23085,"ANTIQUE SILVER BAUBLE LAMP  ",1
2011-10,23110,"PARISIENNE KEY CABINET ",1
2011-10,23113,"PANTRY CHOPPING BOARD",1
2011-10,23165,"LARGE CERAMIC TOP STORAGE JAR",1
2011-10,23240,"SET OF 4 KNICK KNACK TINS DOILY ",1
2011-10,23250,"VINTAGE RED TRIM ENAMEL BOWL ",1
2011-10,23252,"VINTAGE RED ENAMEL TRIM JUG ",1
2011-10,23322,"LARGE WHITE HEART OF WICKER",1
2011-10,23329,"DECORATIVE WICKER HEART LARGE",1
2011-10,23348,"CHILDRENS TOY COOKING UTENSIL SET",1
2011-10,23355,"HOT WATER BOTTLE KEEP CALM",1
2011-10,23382,"BOX OF 6 CHRISTMAS CAKE DECORATIONS",1
2011-10,23462,"ROCOCO WALL MIRROR WHITE",1
2011-10,23469,"CARD HOLDER LOVE BIRD SMALL",1
2011-10,23470,"CARD HOLDER LOVE BIRD LARGE ",2
2011-10,23483,"HANGING  BUTTERFLY T-LIGHT HOLDER",1
2011-10,23485,"BOTANICAL GARDENS WALL CLOCK ",1
2011-10,23487,"SWEET HEART CAKE CARRIER",1
2011-10,23494,"VINTAGE DOILY DELUXE SEWING KIT ",1
2011-10,23565,"EGG CUP MILKMAID HELGA ",1
2011-10,23581,"JUMBO BAG PAISLEY PARK",1
2011-10,35970,"ZINC FOLKART SLEIGH BELLS",1
2011-10,35971,"ROSE FOLKART HEART DECORATIONS",1
2011-10,75049L,"LARGE CIRCULAR MIRROR MOBILE",1
2011-10,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",1
2011-10,85034A,"3 GARDENIA MORRIS BOXED CANDLES",1
2011-10,CRUK,"CRUK Commission",1
2011-10,M,Manual,2
2011-11,20974,"12 PENCILS SMALL TUBE SKULL",1
2011-11,21519,"GIN & TONIC DIET GREETING CARD ",2
2011-11,21892,"TRADITIONAL WOODEN CATCH CUP GAME ",1
2011-11,21915,"RED  HARMONICA IN BOX ",1
2011-11,21982,"PACK OF 12 SUKI TISSUES ",1
2011-11,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",1
2011-11,22276,"WASH BAG VINTAGE ROSE PAISLEY",1
2011-11,22551,"PLASTERS IN TIN SPACEBOY",1
2011-11,22554,"PLASTERS IN TIN WOODLAND ANIMALS",1
2011-11,22726,"ALARM CLOCK BAKELIKE GREEN",1
2011-11,23212,"HEART WREATH DECORATION WITH BELL",1
2011-11,23213,"STAR WREATH DECORATION WITH BELL",1
2011-11,23244,"ROUND STORAGE TIN VINTAGE LEAF",1
2011-11,D,Discount,1
